MSN,YYYYMM,Value,Column_Order,Description,Unit
GERCBUS,199203,0.542,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199204,0.525,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199205,0.542,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199206,0.525,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199207,0.542,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199208,0.542,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199209,0.525,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199210,0.542,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199211,0.525,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199212,0.542,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199213,6.4,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199301,0.578,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199302,0.522,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199303,0.578,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199304,0.559,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199305,0.578,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199306,0.559,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199307,0.578,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199308,0.578,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199309,0.559,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199310,0.578,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199311,0.559,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199312,0.578,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199313,6.8,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199401,0.527,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199402,0.476,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199403,0.527,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199404,0.51,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
